index,title,author,pages,genre,description,published_date,publisher,average_rating,ratings_count,thumbnail
1217,Shakespeare,Park Honan,512.0,Biography,in the most complete accurate and uptodate narrative of shakespeares life ever written park honan uses a wealth of fresh information to dramatically alter our perceptions of the actor poet and playwrightthe young poets relationships his early courtship of anne hathaway their marriage his attitudes to women such as jennet davenant marie mountjoy and his own daughters are seen in a new light illuminating shakespeares needs habits passions and concerns park honan examines the w,1998-10-29 00:00:00,oxford university press,4.0,0,http://books.google.com/books/content?id=X2EJ5LS5HcsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1222,Political Shakespeare,"Jonathan Dollimore, Alan Sinfield",308.0,Drama,the new wave of cultural materialists in britain and new historicists in the united states here join forces to depose the sacred icon of the eternal bard and argue for a shakespeare who meditates and exploits political cultural and ideological forces ten years on this second edition presents additional essays by jonathan dollimore and alan sinfield,1994-01-01 00:00:00,manchester university press,3.0,1,http://books.google.com/books/content?id=BctZMVhGkHEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1225,Shakespeare and the Practice of Physic,Todd Howard James Pettigrew,206.0,Literature,by shakespeares time the debate over legitimate medical practice had become vociferous and public the powerful college of physicians fought hard to discredit some and rein in others but many resisted denied or ignored its authority dramatists did not fail to notice the turmoil nor did they fail to comment on it and no one commented more profoundly on stage than william shakespeare going beyond the usual questions posed about shakespeare and medicine this study which won the first ja,2007-01-01 00:00:00,university of delaware press,,0,http://books.google.com/books/content?id=7a41pIhNtQcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1226,Shakespeare and the Culture of Romanticism,Joseph M. Ortiz,312.0,Literature,how theatre directors actors poets women writers political philosophers gallery owners and other professionals in the nineteenth century turned to shakespeare in myriad ways to advance their own political artistic or commercial agendas is the subject of this collection whether whig or tory male or female intellectual or commercial romantic writers found in shakespeare a powerful medium through which to claim authority for their particular interests,2013-01-01 00:00:00,ashgate publishing ltd,,0,http://books.google.com/books/content?id=Zz5B2BP0lvAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1227,Shakespeare,Samuel Taylor Coleridge,297.0,Literature,in his profound exploration titled shakespeare samuel taylor coleridge delves into the intricacies of william shakespeares oeuvre employing a critical lens that merges literary analysis with philosophical inquiry coleridges prose is characterized by a rich poetic style that reflects his deep admiration for shakespeares artistry he dissects key themes character motivations and dramatic structures situating shakespeares work within the broader context of elizabethan literature and th,2022-11-13 00:00:00,digicat,4.0,0,http://books.google.com/books/content?id=ckSVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1228,Shakespeare Without Women,Dympna Callaghan,234.0,Literature,first published in 1999 routledge is an imprint of taylor francis an informa company,2000-01-01 00:00:00,psychology press,,0,http://books.google.com/books/content?id=d3MXZE4FBT8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1229,Tales from Shakespeare,Edited By S.E. Paces,134.0,Children,great stories in easy english,2010-03-21 12:00:00,s chand publishing,5.0,1,http://books.google.com/books/content?id=u7zJoaMjeDoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1230,The New Cambridge Companion to Shakespeare,"Margreta De Grazia, Stanley Wells",381.0,Drama,twentyone essays provide lively and authoritative approaches to the literary historical cultural and performative aspects of shakespeare works,2010-03-25 00:00:00,cambridge university press,,0,http://books.google.com/books/content?id=8u5DuLU-awMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1231,Reimagining Shakespeare for Children and Young Adults,Naomi J. Miller,348.0,Drama,table of contents,2003-01-01 00:00:00,psychology press,,0,http://books.google.com/books/content?id=GO7d1sI1qGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1234,Players of Shakespeare 1,Philip Brockbank,198.0,Biography,twelve actors describe their preparation for and performance of a shakespearean role with the royal shakespeare company the result is an account of the instability of the actors art as well of his professional discipline,1988-07-28 00:00:00,cambridge university press,4.5,2,http://books.google.com/books/content?id=Scm8YfEJPU0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
